,Subject,Condition,Trial,Cue,Stimulus,Response,RT,Estimated class,Proba 0,Proba 1
0,pilot3,Cued,0,2,2,2,479,1,0.7760243480790546,0.22397565192094537
1,pilot3,Cued,1,1,1,1,562,1,0.9617953606248302,0.038204639375169866
2,pilot3,Cued,2,2,2,2,404,2,0.06084886967324099,0.939151130326759
3,pilot3,Cued,3,2,2,2,516,2,0.10731778072136411,0.8926822192786359
4,pilot3,Cued,4,2,1,1,564,2,0.21101787603985922,0.7889821239601408
5,pilot3,Cued,5,2,2,2,376,2,0.13625323305713832,0.8637467669428617
6,pilot3,Cued,6,1,1,1,325,1,0.9620336857097543,0.037966314290245634
7,pilot3,Cued,7,2,2,2,395,2,0.24771563677259223,0.7522843632274078
8,pilot3,Cued,8,1,1,1,356,1,0.8268829475698034,0.17311705243019657
9,pilot3,Cued,9,1,1,1,351,1,0.8316576964112191,0.16834230358878086
10,pilot3,Cued,10,1,1,1,385,1,0.5610538360086559,0.4389461639913441
11,pilot3,Cued,11,1,1,1,324,1,0.7949979572240837,0.20500204277591624
12,pilot3,Cued,12,1,1,1,259,1,0.8564200236472871,0.14357997635271288
13,pilot3,Cued,13,1,1,1,412,1,0.8588948958759888,0.14110510412401123
14,pilot3,Cued,14,2,2,2,386,1,0.7373803108032992,0.2626196891967008
15,pilot3,Cued,15,1,1,1,335,1,0.875331102139714,0.12466889786028601
16,pilot3,Cued,16,2,2,2,377,2,0.3291280204483924,0.6708719795516076
17,pilot3,Cued,17,1,1,1,325,1,0.7399190616370852,0.26008093836291474
18,pilot3,Cued,18,1,2,2,538,1,0.9406570793311996,0.059342920668800446
19,pilot3,Cued,19,2,2,2,568,2,0.15164370131583915,0.8483562986841608
20,pilot3,Cued,20,2,1,1,636,2,0.10371886096562932,0.8962811390343707
21,pilot3,Cued,21,1,1,1,534,1,0.8106837718088377,0.18931622819116234
22,pilot3,Cued,22,1,1,1,369,1,0.9826938278139412,0.017306172186058753
23,pilot3,Cued,23,1,1,1,360,1,0.9924744879084139,0.007525512091586129
24,pilot3,Cued,24,2,1,1,566,2,0.049401540695959256,0.9505984593040407
25,pilot3,Cued,25,1,1,1,403,1,0.9712311003939915,0.028768899606008532
26,pilot3,Cued,26,2,2,2,392,2,0.13697896440620172,0.8630210355937983
27,pilot3,Cued,27,2,2,2,592,2,0.2441200439795086,0.7558799560204914
28,pilot3,Cued,28,1,1,1,516,1,0.8974584418331504,0.10254155816684968
29,pilot3,Cued,29,1,1,1,386,1,0.8575801768325058,0.14241982316749427
30,pilot3,Cued,30,1,1,1,332,1,0.8722198807696131,0.12778011923038687
31,pilot3,Cued,31,1,1,1,431,1,0.8177140389707134,0.18228596102928665
32,pilot3,Cued,32,1,1,1,456,1,0.8582860326081692,0.14171396739183081
33,pilot3,Cued,33,1,2,2,607,2,0.4560503691660259,0.5439496308339741
34,pilot3,Cued,34,1,1,1,363,1,0.7692451471304699,0.23075485286953015
35,pilot3,Cued,35,2,2,2,409,1,0.532707291263933,0.46729270873606704
36,pilot3,Cued,36,2,2,2,440,2,0.20988415961936513,0.7901158403806349
37,pilot3,Cued,37,1,1,1,306,2,0.11197324946642129,0.8880267505335787
38,pilot3,Cued,38,1,1,1,373,1,0.6981073613815807,0.3018926386184193
39,pilot3,Cued,39,2,2,2,386,2,0.03737005443393904,0.962629945566061
40,pilot3,Cued,40,2,2,2,422,2,0.358446524351135,0.641553475648865
41,pilot3,Cued,41,2,2,2,433,2,0.04889936913616366,0.9511006308638363
42,pilot3,Cued,42,2,2,2,515,2,0.08356160987709582,0.9164383901229042
43,pilot3,Cued,43,2,1,1,442,2,0.30452620227762484,0.6954737977223752
44,pilot3,Cued,44,1,1,1,565,1,0.8665298287852353,0.13347017121476468
45,pilot3,Cued,45,1,1,1,438,1,0.9148711168780749,0.08512888312192515
46,pilot3,Cued,46,2,2,2,391,2,0.17262611823353946,0.8273738817664605
47,pilot3,Cued,47,2,2,2,390,2,0.11406700673525472,0.8859329932647453
48,pilot3,Cued,48,2,2,2,546,2,0.10766982954340432,0.8923301704565957
49,pilot3,Cued,49,1,1,1,356,1,0.8485193539711373,0.1514806460288627
50,pilot3,Cued,50,1,1,1,321,1,0.8676097560998065,0.13239024390019347
51,pilot3,Cued,51,1,1,1,550,1,0.8993067522612903,0.10069324773870969
52,pilot3,Cued,52,1,1,1,532,1,0.9683706010881628,0.031629398911837206
53,pilot3,Cued,53,1,1,1,306,1,0.5051511207280406,0.49484887927195936
54,pilot3,Cued,54,1,1,1,281,1,0.576776137777429,0.4232238622225711
55,pilot3,Cued,55,2,1,1,520,2,0.4249448205341426,0.5750551794658574
56,pilot3,Cued,56,1,1,1,279,1,0.9565358900154287,0.04346410998457131
57,pilot3,Cued,57,1,1,1,430,1,0.7074224692086235,0.29257753079137644
58,pilot3,Cued,58,2,2,2,379,2,0.35487637632306945,0.6451236236769305
59,pilot3,Cued,59,2,2,2,381,2,0.3407865212966318,0.6592134787033682
60,pilot3,Cued,60,2,1,1,454,2,0.45303498352555516,0.5469650164744448
61,pilot3,Cued,61,2,1,1,418,2,0.1859095465577677,0.8140904534422323
62,pilot3,Cued,62,1,1,1,397,1,0.8867294603339348,0.11327053966606519
