,Subject,Condition,Trial,Cue,Stimulus,Response,RT,Estimated class,Proba 0,Proba 1
0,pilot3,Uncued,0,0,1,1,444,2,0.30764969300572453,0.6923503069942755
1,pilot3,Uncued,1,0,2,2,391,2,0.44795415069276057,0.5520458493072394
2,pilot3,Uncued,2,0,2,2,458,2,0.21654744440803975,0.7834525555919603
3,pilot3,Uncued,3,0,1,1,540,1,0.9805817394864815,0.01941826051351842
4,pilot3,Uncued,4,0,1,1,418,1,0.7680136726838224,0.23198632731617763
5,pilot3,Uncued,5,0,2,2,580,1,0.952371448058234,0.04762855194176593
6,pilot3,Uncued,6,0,2,2,624,1,0.9556756860587416,0.0443243139412583
7,pilot3,Uncued,7,0,2,2,400,1,0.9929617737357864,0.00703822626421358
8,pilot3,Uncued,8,0,1,1,490,1,0.9608594629621916,0.03914053703780839
9,pilot3,Uncued,9,0,1,1,451,2,0.0008274784856612261,0.9991725215143388
10,pilot3,Uncued,10,0,1,1,524,1,0.9966659588207706,0.0033340411792294445
11,pilot3,Uncued,11,0,1,1,499,2,0.09341261272101631,0.9065873872789837
12,pilot3,Uncued,12,0,1,1,388,2,0.4427103982355497,0.5572896017644503
13,pilot3,Uncued,13,0,1,1,448,1,0.9210319402135149,0.07896805978648516
14,pilot3,Uncued,14,0,2,2,471,1,0.9998064277626769,0.00019357223732306098
15,pilot3,Uncued,15,0,1,1,429,2,0.009413594743175047,0.990586405256825
16,pilot3,Uncued,16,0,2,2,599,2,0.2533796387661189,0.7466203612338811
17,pilot3,Uncued,17,0,1,1,368,2,0.32690268120569255,0.6730973187943075
18,pilot3,Uncued,18,0,1,1,420,2,0.08071696520365079,0.9192830347963492
19,pilot3,Uncued,19,0,1,1,446,1,0.9920164817844793,0.007983518215520725
20,pilot3,Uncued,20,0,2,1,573,1,0.9896703824061074,0.010329617593892563
21,pilot3,Uncued,21,0,1,1,561,1,0.9902168293346534,0.009783170665346655
22,pilot3,Uncued,22,0,2,2,543,1,0.9999888504493244,1.1149550675566706e-05
23,pilot3,Uncued,23,0,1,1,477,1,0.9305320952956233,0.06946790470437673
24,pilot3,Uncued,24,0,2,2,450,1,0.998594881802921,0.0014051181970789752
25,pilot3,Uncued,25,0,2,2,543,1,0.9743856554636523,0.025614344536347717
26,pilot3,Uncued,26,0,2,2,542,2,0.18915127229006812,0.8108487277099319
27,pilot3,Uncued,27,0,2,2,483,2,0.06106474528274353,0.9389352547172565
28,pilot3,Uncued,28,0,2,2,429,2,0.07961159101605486,0.9203884089839451
29,pilot3,Uncued,29,0,1,1,518,1,0.6197695003534462,0.38023049964655375
30,pilot3,Uncued,30,0,1,1,444,1,0.8008077821984803,0.19919221780151977
31,pilot3,Uncued,31,0,1,1,406,1,0.9474582721365397,0.05254172786346032
32,pilot3,Uncued,32,0,2,2,473,2,0.07221740006470967,0.9277825999352903
33,pilot3,Uncued,33,0,1,1,746,1,0.6659634054208246,0.3340365945791754
34,pilot3,Uncued,34,0,1,1,492,1,0.9784333516594081,0.02156664834059182
35,pilot3,Uncued,35,0,2,2,554,1,0.5948580233887654,0.40514197661123463
36,pilot3,Uncued,36,0,1,1,529,1,0.9395140330325181,0.060485966967481875
37,pilot3,Uncued,37,0,2,2,467,2,0.05537628304898934,0.9446237169510107
38,pilot3,Uncued,38,0,1,1,476,2,0.44519236994911227,0.5548076300508877
39,pilot3,Uncued,39,0,2,2,619,2,0.029954865989683,0.970045134010317
40,pilot3,Uncued,40,0,2,2,437,1,0.9972817215148561,0.002718278485143905
41,pilot3,Uncued,41,0,1,1,415,2,0.014871793257135835,0.9851282067428642
42,pilot3,Uncued,42,0,2,2,493,2,0.021260343731986264,0.9787396562680137
43,pilot3,Uncued,43,0,1,1,478,1,0.889663316648909,0.110336683351091
44,pilot3,Uncued,44,0,2,2,632,2,0.1675178738271519,0.8324821261728481
45,pilot3,Uncued,45,0,2,2,494,1,0.9103621395816626,0.0896378604183374
46,pilot3,Uncued,46,0,1,1,511,2,0.0715219837237594,0.9284780162762406
47,pilot3,Uncued,47,0,1,1,417,1,0.9913084625206655,0.008691537479334498
48,pilot3,Uncued,48,0,1,1,512,2,0.030670044300526556,0.9693299556994734
49,pilot3,Uncued,49,0,1,1,470,2,0.3487823765242294,0.6512176234757706
50,pilot3,Uncued,50,0,1,1,433,1,0.9944530770506558,0.00554692294934423
51,pilot3,Uncued,51,0,1,1,370,2,0.20455446729482019,0.7954455327051798
52,pilot3,Uncued,52,0,1,1,534,1,0.8700218413211285,0.1299781586788715
53,pilot3,Uncued,53,0,2,2,533,1,0.950018605564733,0.049981394435266946
54,pilot3,Uncued,54,0,2,2,594,2,2.3045999812842943e-05,0.9999769540001872
55,pilot3,Uncued,55,0,1,1,582,2,0.06320094315124591,0.9367990568487541
56,pilot3,Uncued,56,0,2,2,534,1,0.997124123685173,0.002875876314826995
57,pilot3,Uncued,57,0,2,2,502,2,0.00846951128545026,0.9915304887145497
58,pilot3,Uncued,58,0,2,2,605,1,0.985877097488512,0.014122902511487985
59,pilot3,Uncued,59,0,1,1,542,1,0.9987301506658196,0.0012698493341803804
60,pilot3,Uncued,60,0,2,2,492,2,3.5197181788015897e-06,0.9999964802818212
61,pilot3,Uncued,61,0,2,2,436,2,0.06245711973086299,0.937542880269137
62,pilot3,Uncued,62,0,1,1,509,1,0.9991341680494689,0.0008658319505311375
63,pilot3,Uncued,63,0,2,2,650,1,0.9999889546376076,1.1045362392341345e-05
64,pilot3,Uncued,64,0,2,2,493,1,0.998878811639719,0.0011211883602809825
65,pilot3,Uncued,65,0,2,2,486,1,0.8115670676625116,0.18843293233748837
66,pilot3,Uncued,66,0,2,2,525,1,0.9974921804910055,0.0025078195089944326
67,pilot3,Uncued,67,0,2,2,443,2,4.237102633941614e-05,0.9999576289736606
68,pilot3,Uncued,68,0,2,2,564,1,0.9388887928834216,0.06111120711657835
69,pilot3,Uncued,69,0,1,1,552,2,0.009536761464417065,0.9904632385355829
70,pilot3,Uncued,70,0,1,1,455,1,0.6088558520798439,0.39114414792015606
71,pilot3,Uncued,71,0,1,1,585,1,0.9747681113367425,0.025231888663257533
72,pilot3,Uncued,72,0,1,1,540,2,0.4181249651964807,0.5818750348035193
73,pilot3,Uncued,73,0,2,1,571,1,0.999448666560525,0.0005513334394749795
74,pilot3,Uncued,74,0,1,1,520,1,0.9999999686041573,3.139584271350256e-08
75,pilot3,Uncued,75,0,1,1,478,1,0.9965005955158348,0.003499404484165173
76,pilot3,Uncued,76,0,1,1,495,2,0.004616883697578178,0.9953831163024218
77,pilot3,Uncued,77,0,2,2,466,2,0.029659534767511708,0.9703404652324883
78,pilot3,Uncued,78,0,1,1,471,1,0.543468223498641,0.456531776501359
79,pilot3,Uncued,79,0,1,1,475,2,6.483885031016712e-05,0.9999351611496898
80,pilot3,Uncued,80,0,1,1,619,1,0.9101366519073478,0.08986334809265221
81,pilot3,Uncued,81,0,1,1,462,1,0.9999962279308059,3.772069194125379e-06
82,pilot3,Uncued,82,0,2,2,471,1,0.7011405714501724,0.2988594285498276
83,pilot3,Uncued,83,0,1,1,479,2,0.4818214411420133,0.5181785588579867
84,pilot3,Uncued,84,0,2,2,470,1,0.9983667315815128,0.0016332684184872353
85,pilot3,Uncued,85,0,2,2,638,2,0.005745163482400062,0.9942548365175999
86,pilot3,Uncued,86,0,2,2,519,1,0.9987071408970055,0.001292859102994457
87,pilot3,Uncued,87,0,1,1,539,1,0.9973417123458771,0.0026582876541229555
88,pilot3,Uncued,88,0,1,1,616,2,0.007776946740567836,0.9922230532594322
89,pilot3,Uncued,89,0,2,2,518,1,0.9964694344221454,0.003530565577854638
90,pilot3,Uncued,90,0,2,2,570,2,0.0001660973215862338,0.9998339026784138
91,pilot3,Uncued,91,0,1,1,483,1,0.9999225772573387,7.742274266134417e-05
92,pilot3,Uncued,92,0,2,2,455,1,0.6949377089799325,0.3050622910200676
93,pilot3,Uncued,93,0,1,1,518,1,0.9999415864273982,5.841357260183142e-05
94,pilot3,Uncued,94,0,1,1,477,1,0.9954498003416021,0.004550199658397821
95,pilot3,Uncued,95,0,1,1,437,2,0.010503397355312805,0.9894966026446872
96,pilot3,Uncued,96,0,2,2,503,2,0.26942632773880726,0.7305736722611927
97,pilot3,Uncued,97,0,1,1,475,2,0.04988698330826202,0.950113016691738
98,pilot3,Uncued,98,0,2,2,849,1,0.9991637358676444,0.0008362641323556222
99,pilot3,Uncued,99,0,2,2,466,1,0.9922654963917086,0.007734503608291379
100,pilot3,Uncued,100,0,2,2,481,1,0.9999916632068357,8.336793164226148e-06
101,pilot3,Uncued,101,0,1,1,681,1,0.9987261864473843,0.00127381355261574
102,pilot3,Uncued,102,0,2,2,633,1,0.9989461616234648,0.0010538383765351248
103,pilot3,Uncued,103,0,1,1,570,1,0.9942830257125793,0.005716974287420694
104,pilot3,Uncued,104,0,2,2,583,1,0.9675162186096506,0.03248378139034933
105,pilot3,Uncued,105,0,2,2,463,1,0.9998805248885134,0.00011947511148662031
106,pilot3,Uncued,106,0,1,1,505,1,0.999999999998624,1.3759988444773645e-12
107,pilot3,Uncued,107,0,1,1,476,1,0.9999614500657102,3.854993428979232e-05
